index,heartrate,heartquality,anomaly
15365,-7.205556699622238,0.41914221248951194,1
15366,-7.3686180303636855,0.41942199969973665,1
15367,-7.510934186837583,0.41970235036238746,1
15368,-7.6293236139009615,0.41998341659434263,1
15369,-7.713679886048285,0.4202650462787237,1
15370,-7.7640972057208115,0.42054739153240933,1
15371,-7.782469147422414,0.4208303002385207,1
15372,-7.771289913604696,0.4211139245139367,1
15373,-7.736253078782816,0.42139811224177853,1
15374,-7.6792528454206055,0.421683015538925,1
15375,-7.598382788046375,0.4219684822884972,1
15376,-7.4973371091380505,0.42225466460737393,1
15377,-7.393209383238976,0.42254141037867654,1
15378,-7.290293812843039,0.4228288717192838,1
15379,-7.190483972510483,0.42311689651231676,1
15380,-7.095146792025755,0.42340563687465427,1
15381,-7.002609179301194,0.42369494068941776,1
15382,-6.913171397474278,0.4239849600734857,1
15383,-6.830333081750704,0.42427554290997943,1
15384,-6.752494495289509,0.42456684131577777,1
15385,-6.677455273318879,0.42485870317400193,1
15386,-6.60461567902127,0.4251512806015306,1
15387,-6.531175347649217,0.42544442148148526,1
15388,-6.45173454241045,0.42573827793074437,1
15389,-6.368892898583711,0.4260326978324293,1
15390,-6.28225067940386,0.4263278333034188,1
15391,-6.197207520177693,0.42662353222683413,1
15392,-6.114963684169054,0.4269199467195541,1
15393,-6.037118806714647,0.4272169246646998,1
15394,-5.962373151109147,0.4275146181791501,1
15395,-5.892026352721012,0.4278128751460262,1
15396,-5.82327867487759,0.4281118476822069,1
15397,-5.747629752980936,0.42841138367081344,1
15398,-5.659579850392923,0.42871163522872446,1
15399,-5.555528602551038,0.42901245023906137,1
15400,-5.433976272853514,0.4293139808187028,1
15401,-5.295922496775117,0.4296160748507701,1
15402,-5.142867537752268,0.42991888445214194,1
15403,-4.97366817415599,0.4302222575059396,1
15404,-4.785467526605586,0.43052634612904184,1
15405,-4.575408087798734,0.4308309982045699,1
15406,-4.340632978396595,0.43113636584940257,1
15407,-4.080684691139615,0.43144229694666103,1
15408,-3.808506346732635,0.431748943613224,1
15409,-3.5280404379606933,0.43205615373221284,1
15410,-3.2390300855741345,0.4323640794205063,1
15411,-2.9278177824044116,0.43267256856122543,1
15412,-2.588546649249191,0.43298177327124937,1
15413,-2.2113591789881544,0.4332915414336989,1
15414,-1.7959984924681052,0.43360202516545315,1
15415,-1.3408070826187686,0.4339130723496331,1
15416,-0.8467280703378958,0.43422483510311766,1
15417,-0.3148468057499211,0.43453716130902814,1
15418,0.24473644733750613,0.4348502030842431,1
15419,0.8248220530320082,0.43516380831188395,1
15420,1.4224097474713768,0.43547812910882927,1
15421,2.0394998947077765,0.4357930133582005,1
15422,2.6790922308226395,0.43610861317687616,1
15423,3.338901405525161,0.4364247764479777,1
15424,4.013212869124334,0.4367416552883839,1
15425,4.696312699841732,0.4370590975812159,1
15426,5.382486347926405,0.43737725544335243,1
15427,6.067219891539085,0.4376959767579148,1
15428,6.7526987808670915,0.4380154136417816,1
